SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,CustomerValue,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_1-2 Years,TenureGroup_2-4 Years,TenureGroup_4+ Years,Churn_Probability,Risk_Level
0,1,29.85,29.85,0,14.925,29.85,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.32,Medium Risk
0,34,56.95,1889.5,0,53.98571428571429,1936.3000000000002,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0.03,Low Risk
0,2,53.85,108.15,1,36.050000000000004,107.7,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0.77,High Risk
0,45,42.3,1840.75,0,40.016304347826086,1903.4999999999998,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0.03,Low Risk
0,2,70.7,151.65,1,50.550000000000004,141.4,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.83,High Risk
0,8,99.65,820.5,1,91.16666666666667,797.2,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,0.99,High Risk
0,22,89.1,1949.4,0,84.75652173913043,1960.1999999999998,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,0.21,Low Risk
0,10,29.75,301.9,0,27.44545454545454,297.5,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.09,Low Risk
0,28,104.8,3046.05,1,105.03620689655173,2934.4,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,0.62,Medium Risk
0,62,56.15,3487.95,0,55.364285714285714,3481.2999999999997,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.04,Low Risk
0,13,49.95,587.45,0,41.96071428571429,649.35,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,0.01,Low Risk
0,16,18.95,326.8,0,19.223529411764705,303.2,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,0.03,Low Risk
0,58,100.35,5681.1,0,96.28983050847458,5820.299999999999,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,0.16,Low Risk
0,49,103.7,5036.3,1,100.726,5081.3,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,0.8,High Risk
0,25,105.5,2686.05,0,103.3096153846154,2637.5,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,0.42,Medium Risk
0,69,113.25,7895.15,0,112.78785714285713,7814.25,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,0.03,Low Risk
0,52,20.65,1022.95,0,19.300943396226415,1073.8,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,0.02,Low Risk
0,71,106.7,7382.25,0,102.53125,7575.7,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,0.18,Low Risk
0,10,55.2,528.35,1,48.03181818181818,552.0,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.69,Medium Risk
0,21,90.05,1862.9,0,84.67727272727274,1891.05,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,0.57,Medium Risk
1,1,39.65,39.65,1,19.825,39.65,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,0.99,High Risk
0,12,19.8,202.25,0,15.557692307692308,237.60000000000002,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,0.02,Low Risk
0,1,20.15,20.15,1,10.075,20.15,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,0.8833333333333333,High Risk
0,58,59.9,3505.1,0,59.40847457627118,3474.2,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,0.05,Low Risk
0,49,59.6,2970.3,0,59.406000000000006,2920.4,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,0.05,Low Risk
0,30,55.3,1530.6,0,49.37419354838709,1659.0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.05,Low Risk
0,47,99.35,4749.15,1,98.940625,4669.45,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,0.81,High Risk
0,1,30.2,30.2,1,15.1,30.2,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.84,High Risk
0,72,90.25,6369.45,0,87.2527397260274,6498.0,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,True,0.0,Low Risk
0,17,64.7,1093.1,1,60.727777777777774,1099.9,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,0.72,High Risk
1,71,96.35,6766.95,0,93.98541666666667,6840.849999999999,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,0.0,Low Risk
1,2,95.5,181.65,0,60.550000000000004,191.0,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,0.81,High Risk
0,27,66.15,1874.45,0,66.94464285714285,1786.0500000000002,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,0.02,Low Risk
0,1,20.2,20.2,0,10.1,20.2,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,0.1735,Low Risk
1,1,45.25,45.25,0,22.625,45.25,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22,Low Risk
0,72,99.9,7251.7,0,99.33835616438355,7192.8,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,0.02,Low Risk
0,5,69.7,316.9,1,52.81666666666666,348.5,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.75,High Risk
0,46,74.8,3548.3,0,75.49574468085106,3440.7999999999997,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,0.24,Low Risk
0,34,106.35,3549.25,1,101.40714285714286,3615.8999999999996,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,0.85,High Risk
0,11,97.85,1105.4,1,92.11666666666667,1076.35,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,0.97,High Risk
0,10,49.55,475.7,0,43.24545454545454,495.5,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.04,Low Risk
0,70,69.2,4872.35,0,68.62464788732395,4844.0,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,0.08,Low Risk
0,17,20.75,418.25,0,23.23611111111111,352.75,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,True,False,False,0.05,Low Risk
0,63,79.85,4861.45,0,75.96015625,5030.549999999999,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,0.0,Low Risk
0,13,76.2,981.45,0,70.10357142857143,990.6,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,0.12,Low Risk
0,49,84.5,3906.7,0,78.134,4140.5,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,0.31,Medium Risk
0,2,49.25,97.0,0,32.333333333333336,98.5,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.1,Low Risk
0,2,80.65,144.15,1,48.050000000000004,161.3,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,0.89,High Risk
0,52,79.75,4217.8,0,79.5811320754717,4147.0,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,True,0.02,Low Risk
0,69,64.15,4254.1,0,60.77285714285715,4426.35,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,0.02,Low Risk
1,43,90.25,3838.75,0,87.24431818181819,3880.75,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,0.22,Low Risk
0,15,99.1,1426.4,1,89.15,1486.5,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,0.56,Medium Risk
1,25,69.5,1752.65,0,67.40961538461539,1737.5,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,0.07,Low Risk
1,8,80.65,633.3,1,70.36666666666666,645.2,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0.87,High Risk
1,60,74.85,4456.35,0,73.05491803278689,4491.0,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,True,False,False,False,False,True,0.02,Low Risk
1,18,95.45,1752.55,1,92.23947368421052,1718.1000000000001,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,0.89,High Risk
0,63,99.65,6311.2,0,98.6125,6277.950000000001,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,True,0.1,Low Risk
1,66,108.45,7076.35,0,105.61716417910448,7157.7,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,False,True,0.07,Low Risk
0,34,24.95,894.3,0,25.55142857142857,848.3,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,0.03,Low Risk
0,72,107.5,7853.7,0,107.58493150684932,7740.0,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,True,0.13,Low Risk
0,47,100.5,4707.1,0,98.06458333333335,4723.5,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,0.15,Low Risk
0,60,89.9,5450.7,0,89.35573770491803,5394.0,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,0.23,Low Risk
0,72,42.1,2962.0,0,40.57534246575342,3031.2000000000003,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.01,Low Risk
0,18,54.4,957.1,0,50.373684210526314,979.1999999999999,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,0.05,Low Risk
0,9,94.4,857.25,1,85.725,849.6,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,0.95,High Risk
0,3,75.3,244.1,0,61.025,225.89999999999998,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,0.51,Medium Risk
0,47,78.9,3650.35,0,76.04895833333333,3708.3,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,0.09,Low Risk
0,31,79.2,2497.2,0,78.0375,2455.2000000000003,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,0.0,Low Risk
